Event Type,Food Option,Venue Option,Activity Option
Private Events,,,
Birthday,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian, 🍷 Gourmet Cuisine, Ξ Greek, 🥖 French/Bistrot, 🌮 Mexican, 👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🎂 Birthday Cake, 🍩 Dessert Station, 🍬 Candy Bar, 🍹 Drinks Only, 🍢 Finger Food, 🍿 Snack, 🚚 Food Truck, 🍕 Pizza, 🥪  Platters","🌅 Rooftop, 🎉 Party Room, 🌳 Outdoor Garden, 🏨️ Private Hotel Hall, 🏠 Villa, 🍽️ Restaurant, 🌺 Garden Venue, 🎶 Night Club, 🍸 Bar, 🏨 Hotel,  🏛️ Historical Venue, 🏔️ Mountain Cabin, 🛥️Boat/Yacht, ☕ Coffee shop,","🎧 DJ, 🎶 Live Music, 📸 Photo Booth, 🕹️Arcade Game, 🎤 Karaoke, ❓ Quizz Room, 🍳 Cooking Class, 🏺 Pottery Workshop, 🎲 Party Game, 🔐 Escape Game, 🎨 Painting Workshop, 🎳 Bowling, 🏎️ Karting, ⛳ Mini Golf, 📸 Photoshoot, 🚬 Hookah Bar, 🏊‍♀️ Pool Party, 👾 Laser Game, 🕹️ Arcade"
Graduation Party,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian,🍷 Gourmet Cuisine, Ξ Greek,  🥖 French/Bistrot, 🌮 Mexican, 👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🍔 Burger Station, 🍿 Snack, 🍹 Drinks Only, 🍢 Finger Food, 🧁 Pastries, 🥪 Platters, 🚚 Food Truck","🎶 Night Club, 🌅 Rooftop, 🌳 Outdoor Space, 🏨 Reception Hall, 🛋️Lounge Bar, 🌺 Garden Venue, 🍸 Bar, 🏠 Villa, 🏨 Hotel, 🍽️ Restaurant,  🏛️ Historical Venue, 🛥️Boat/Yacht","🎧 DJ, 🎶 Live Music, 🎳 Bowling, 🕹 Arcade, 📸 Photoshoot, 🎨 Painting Workshop, 🏎️ Karting, 🎤 Karaoke, 🎲 Party Game, ⛳ Mini Golf, 👾 Laser Game, 🔐 Escape Game"
Private Dinner,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian, 🥖 French/Bistrot, Ξ Greek,  🌮 Mexican, 👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🍷 Gourmet Cuisine, 🦞 Seafood, 🍢 Tapas, 🚚 Food Truck","🍽️ Restaurant, 🏠 Villa, 🌳 Outdoor Garden, 🌅 Rooftop, 🍷 Private Dining Room, 🌺 Garden Venue,🍾 Wine Cellar, 🍸 Bar, 🏨 Hotel, 🎥 Movie Theater,  🏛️ Historical Venue, 🏔️ Mountain Cabin,  🛥️Boat/Yacht","🎶 Live Music, 🎳 Bowling,🍷 Wine Tasting, 👩‍🍳 Cooking Class, 🎨 Painting Workshop, 📸 Photoshoot, 🚬 Hookah Bar, 👾 Laser Game"
Bachelorette/Bachelor Party,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian, 🍷 Gourmet Cuisine, Ξ Greek,  🥖 French/Bistrot, 🌮 Mexican, 👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🍿 Snack, 🍸 Cocktail, 🚚 Food Truck, 🍕 Pizza Station, 🍢 Appetizer, 🍨 Finger Food, 🍩 Dessert-Only","🎶 Night Club, 🌅 Rooftop, 🏠 Villa, 🏖️ Beachfront, 🍸 Bar, 🎤 Karaoke Lounge, 🏨 Hotel, 🌺 Garden Venue, 🍽️ Restaurant, 🏔️ Mountain Cabin, , 🛥️Boat, ☕ Coffee shop","🎧 DJ, 🎤 Karaoke, 🎶 Live Music, 🏊‍♀️ Pool Party, 🚬 Hookah Bar, 🎲  Game Bar, 🎭 Themed Costume Party, 🕵️‍♀️ Adventure Game, 🎨 Painting Workshop, 🏎️ Karting, 🦵 Pole Dancing, 🎳 Bowling, 📸 Photoshoot, 🔐 Escape Game"
Kids Event,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian, 🥖 French/Bistrot, Ξ Greek, 🌮 Mexican, 👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🍿 Snack, 🎂 Cake Station, 🍦 Ice Cream Bar, 🍪 Cookies, 🍬 Candy Bar, 🌭 Hot Dog, 🧁 Cupcake, 🍕 Mini Pizzas, 🍫 Chocolate Fountain, 🚚 Food Truck","🎠 Playground, 🌳 Park, ☕ Coffee shop, 🌺 Garden Venue, 🎥 Movie Theater, 🎢 Amusement Park, 🏓 Activity Center, 🏠 Indoor Play Zone, 🍽️ Restaurant, 🛥️Boat/Yacht","🧸 Puppet Show, ✂️ Crafting, 🎳 Bowling, 🎨 Face Painting, 🎈 Balloon Animal, ⛳ Mini Golf, 🎨 Painting Workshop, 🏎️ Karting, 🔐 Escape Game, 🎤 Karaoke, 📸 Photoshoot , 🎉 Clown Performance, 🎮 Gaming Corner, 🛝 Play Area, 👾 Laser Game"
Baby Shower,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian, 🍷 Gourmet Cuisine, Ξ Greek, 🥖 French/Bistrot, 🌮 Mexican, 👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🍨 Dessert,  🥪 Platter, 🧁 Cake Pop, 🥪 Finger Sandwich, 🧁 Mini Dessert, 🚚 Food Truck","🌺 Garden, 🌅 Rooftop, 🏛️ Reception Hall, 🏠 Private Home, ☕ Cafe, 🍸 Bar, 🏠 Villa, 🏨 Hotel, 🍽️ Restaurant, 🛥️Boat/Yacht","🎧 DJ, ✂️ Crafting, ❓ Quizz Room, 🎳 Bowling, 🎨 Painting Workshop, 🎤 Karaoke, 📸 Photoshoot"
Holiday Party,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian, 🍷 Gourmet Cuisine, Ξ Greek, 🥖 French/Bistrot, 🌮 Mexican, 👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🎉 Festive Dish, 🍨 Dessert-Only,  🍢 Finger Food, 🍪 Cookies, 🍢 Appetizer, 🍸 Themed Drinks","🏛️Mansion, 🌺 Garden Venue, 🌳 Outdoor Venue, 🌅 Rooftop, 🎭 Ballroom, 🍽️ Restaurant, 🏛️ Historical Venue, 🍸 Bar, 🏠 Villa, 🏨 Hotel, 🛥️Boat/Yacht","🎧 DJ, 🎁 Contest, 🎤 Karaoke, 🎨 Decorating, 🎅 Gift Exchange, 🎅 Secret Santa, 🎨 Painting Workshop, 🎳 Bowling, 📸 Photoshoot"
Anniversary Celebration,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian, 🍷 Gourmet Cuisine, Ξ Greek, 🥖 French/Bistrot, 🌮 Mexican,👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🍴 Dinner, 🍨 Dessert-Only, 👨‍🍳 Private Chef Experience, 🍢 Appetizer, 🎂 Cake, 🚚 Food Truck","🏠 Villa, 🌺 Garden, 🌅 Rooftop, 🍽️ Restaurant, 🏛️ Reception Hall, 🌄 Scenic Terrace, 🍸 Bar, 🏨 Hotel, 🏔️ Mountain Cabin, 🛥️Boat/Yacht","💃 Dance Lesson, 🎶 Live Music, 🎥 Movie Theater, 🎭 Performance,  📸 Couple Photoshoot, 🎨 Painting Workshop, 🎳 Bowling, 🎤 Karaoke, 📸 Photoshoot"
Wedding,"🍽️ Buffet, 🍔 Fast Food, 🥞 Brunch, 🍜 Asian, 🥙 Middle Eastern, 🍝 Italian, 🍷 Gourmet Cuisine, Ξ Greek, 🥖 French/Bistrot, 🌮 Mexican, 👨‍🍳 Private Chef Experience, 🥩 Steakhouse & Barbecue, 🔥 Cooking Station, 🍴 Plated Dinner, 🍨 Dessert, 🧁 Display, 🍢 Appetizer, 🍛 Multi-Cuisine Option","🏠 Villa, 🏛 Mansion, 🎭 Ballroom, 🌺 Garden, 🏖️ Beachfront, 🚜 Farm, 🍇 Vineyard, 🍸 Bar, 🏨 Hotel, 🍽️ Restaurant 🛥️Boat/Yacht","🎶 Live Music/DJ, 💃 Dance Lesson, 🎆 Firework, 📸 Photoshoot, 🎨 Painting Workshop, 🎤 Karaoke, ✍ Guestbook Station, 🧸 Kids’ Activity Corner, 🎧 Silent Disco"
